Date,Author,Text
10/14/2021 4:00,NurulWahyuni21,Bareskrim Polri telah menangani perkara pinjaman online (pinjol) ilegal sebanyak 370 kasus dalam periode kurun waktu 2020-2021.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/poFoonpExV
10/14/2021 4:00,inilahdotcom,"Kantor Pinjol Ilegal Digerebek, 56 Karyawan Angkat Tangan  #inilahcom #inilahdotcom https://t.co/LHRzVekwDW"
10/14/2021 3:59,SusiEmilia2,"Menghapus pinjol, bagus. Tetapi akan lebih bagus lagi, memberdayakan rakyat, menghapus pengangguran, spy rakyat cukup mangan. Kecil besar utang berbunga tetap menyusahkan, lbh baik dibiasakan tdk berutang. Negara atau rakyat akan sulit jika berhutang, apalagi membengkak terus."
10/14/2021 3:59,ilpyo_,"@setinggibonsai hehe katanya pinjol gak berujung, sampe si tsk mau bayar"
10/14/2021 3:59,mohtahid,RT @bmt_sabary: @DonWoi Ditempat aye jg banyak yg terjerat Pinjol. Bahkan sehari Ade yg angsurannye 600 rb. Gile Loe Ndro..... #KAcepatBebaâ€¦
10/14/2021 3:59,PradityaBeni,RT @pinjollaknat: Penggrebekan kantor pinjol pada hari Rabu 13/10/2021 di Jakarta Barat. â›” https://t.co/ub77h8xOFz
10/14/2021 3:59,polsek_udanawu,RT @humasres_blikot: Kapolri Jenderal Listyo Sigit Prabowo menginstruksikan seluruh jajaran kepolisian untuk menindak tegas pinjaman onlineâ€¦
10/14/2021 3:59,BidhumasKalbar,Kapolri Jenderal Listyo Sigit Prabowo menginstruksikan seluruh jajaran kepolisian untuk menindak tegas pinjaman online (pinjol) ilegal.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/t0ZntzpCYh
10/14/2021 3:59,_Nayanika27_,RT @Penyuka_ombak: Puan meminta jajaran Polri dan OJK harus menindak tegas Pinjol ilegal yg telah meresahkan tsbt. Marak nya pinjol ini jugâ€¦
10/14/2021 3:59,n4dini,RT @tvOneNews: Wakil Ketua DPR RI: Aplikasi Pinjol Harus Di Hapus dari Android &amp; IOS https://t.co/h0XtLfID2c
10/14/2021 3:59,com_kukuh,RT @polres_madiun: Kapolri Jenderal Listyo Sigit Prabowo menginstruksikan seluruh jajaran kepolisian untuk menindak tegas pinjaman online (â€¦
10/14/2021 3:59,bungfrankz,RT @NyaiiBubu: Daripada jadi DC Pinjol Ilegal mending cari pekerjaan lainnya... Masih muda2 gini yg digerebekđźĄş  https://t.co/RLMpBPqB85
10/14/2021 3:59,Yulia_4ja,RT @NS_Indah79: Kapolri Perintahkan Jajaran Tindak Tegas Pinjol Ilegal  Kapolri Jenderal Pol Listyo Sigit Prabowo menindaklanjuti arahan Prâ€¦
10/14/2021 3:59,MrClark211,RT @Urrangawak: Puluhan penagih Pinjol digerebek saat beraksi di meja kerja di daerah Jakarta Barat.. https://t.co/tdHmaUetCh
10/14/2021 3:59,VictoriaWijaya5,Kapolri Jenderal Listyo Sigit Prabowo menginstruksikan seluruh jajaran kepolisian untuk menindak tegas pinjaman online (pinjol) ilegal.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/sY0V7yvmPO
10/14/2021 3:59,HumasKotabaru,RT @bidhumaskalsel: Direktorat Siber Bareskrim Polri akan mendeteksi server-server yang diduga melakukan pelanggaran dalam transaksi pinjolâ€¦
10/14/2021 3:58,ballapann,RT @Mr_Khepo: Wakil Ketua #DPRuntukNegeri Bpk Sufmi Dasco Ahmad. Menekankan Polri serta OJK untuk memberantas pinjaman on line illegal. Danâ€¦
10/14/2021 3:58,ballapann,RT @Mr_Khepo: Maraknya pinjol illegal ini menjadikan indikator dan intropeksi. Sudah seharusnya Otoritas Keuangan melakukan evaluasi bagi lâ€¦
10/14/2021 3:58,ballapann,RT @IrvanWis: Maraknya Pinjol ilegal sering kali meresahkan masyarakat. DPR pun memintaÂ PolriÂ dan Otoritas Jasa Keuangan (OJK) menindak tegâ€¦
10/14/2021 3:58,heriawanadiwan4,RT @ardiriau1: Tangkap pemilik modalnya...  https://t.co/wl3yyUkRxQ
10/14/2021 3:58,adlina_febriani,Bareskrim Polri telah menangani perkara pinjaman online (pinjol) ilegal sebanyak 370 kasus dalam periode kurun waktu 2020-2021.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/WKKLQ3TVQl
10/14/2021 3:58,ballapann,"RT @WajahPribumiii: @puanmaharani_ri Terus Mendengar Aspirasi Rakyat terkait PINJOL. Melalui RUU perlindungan data pribadi, ia berharap kebâ€¦"
10/14/2021 3:58,ballapann,RT @WajahPribumiii: Sufmi Dasco meminta Polri &amp; OJK menindak tegas maraknya PINJOL ilegal yg meresahkan msyrkt. Otoritas keuangan hrs introâ€¦
10/14/2021 3:58,DenBeisBeis1,RT @Dennysiregar7: Pinjol ilegal mulai dihajar satu persatu. Bravo @DivHumas_Polri â�•  https://t.co/ELHFf8iGWJ
10/14/2021 3:58,IrenWitra,RT @kota_panjang: Kapolri Jenderal Listyo Sigit Prabowo menginstruksikan seluruh jajaran kepolisian untuk menindak tegas pinjaman online (pâ€¦
10/14/2021 3:58,Abrata73647759,RT @restrotangkot: Kejahatan pinjol ilegal sangat merugikan masyarakat sehingga diperlukan langkah penanganan khusus dengan strategi Pre-emâ€¦
10/14/2021 3:58,sugiono_69,"RT @pinjollaknat: Dear bocah-bocah dc pinjol, semoga mendapatkan pekerjaan yang lebih baik ya. đź‘Ś https://t.co/7zj64fMSFM"
10/14/2021 3:58,WajahPribumiii,RT @Mr_Khepo: Maraknya pinjol illegal ini menjadikan indikator dan intropeksi. Sudah seharusnya Otoritas Keuangan melakukan evaluasi bagi lâ€¦
10/14/2021 3:58,DArsiano,Kapolri Jenderal Listyo Sigit Prabowo menginstruksikan seluruh jajaran kepolisian untuk menindak tegas pinjaman online (pinjol) ilegal.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/U6h3rlXDuh
10/14/2021 3:58,ballapann,RT @BubuNyaii: Kebocoran data pribadi &amp; maraknya Pinjol ilegal makin meresahkan. Ketua DPR RI Puan Maharani  @puanmaharani_ri mengatakan DPâ€¦
10/14/2021 3:58,hendrachmanaa,RT @Dennysiregar7: Pinjol ilegal mulai dihajar satu persatu. Bravo @DivHumas_Polri â�•  https://t.co/ELHFf8iGWJ
10/14/2021 3:58,sugiono_69,RT @pinjollaknat: Penggrebekan kantor pinjol pada hari Rabu 13/10/2021 di Jakarta Barat. â›” https://t.co/ub77h8xOFz
10/14/2021 3:58,PamulangHumas,Bareskrim Polri telah menangani perkara pinjaman online (pinjol) ilegal sebanyak 370 kasus dalam periode kurun waktu 2020-2021.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/OkE76AIYKu
10/14/2021 3:58,IrenWitra,RT @kota_panjang: Bareskrim Polri telah menangani perkara pinjaman online (pinjol) ilegal sebanyak 370 kasus dalam periode kurun waktu 2020â€¦
10/14/2021 3:58,naufalzki,RT @pinjollaknat: Penggrebekan kantor pinjol pada hari Rabu 13/10/2021 di Jakarta Barat. â›” https://t.co/ub77h8xOFz
10/14/2021 3:58,Danks05282530,@CNNIndonesia Pinjol = Renternir. Berantas habis.
10/14/2021 3:58,Dolley_Agri,"RT @kartarahardja: Terjerat PINJOL Online? Sini saya bantu, DM ya. Tolong viral kan ya."
10/14/2021 3:57,CintaAyunda8,Bareskrim Polri telah menangani perkara pinjaman online (pinjol) ilegal sebanyak 370 kasus dalam periode kurun waktu 2020-2021.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/WKziCkVN35
10/14/2021 3:57,ballapann,RT @Penyuka_ombak: Puan meminta jajaran Polri dan OJK harus menindak tegas Pinjol ilegal yg telah meresahkan tsbt. Marak nya pinjol ini jugâ€¦
10/14/2021 3:57,ballapann,RT @Penyuka_ombak: PINJOL YG MENCEKEK.  Maraknya Pinjaman online (Pinjol) yg meresahakan masyarakat mendapat perhatian serius anggota DPR dâ€¦
10/14/2021 3:57,ballapann,RT @Penyuka_ombak: Termasuk kebocoran data pribadi yg saat ini tengah menghangat.utk itu DPR meminta lembaga terkait harus mampu melindungiâ€¦
10/14/2021 3:57,poldabengkulu,Direktorat Siber Bareskrim Polri akan mendeteksi server-server yang diduga melakukan pelanggaran dalam transaksi pinjol.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/TYEP1lAYqH
10/14/2021 3:57,PamulangHumas,"Kejahatan pinjol ilegal sangat merugikan masyarakat sehingga diperlukan langkah penanganan khusus dengan strategi Pre-emtif, Preventif maupun Represif.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/XXYSSGrLCx"
10/14/2021 3:57,CisaatKota,Bareskrim Polri telah menangani perkara pinjaman online (pinjol) ilegal sebanyak 370 kasus dalam periode kurun waktu 2020-2021.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/cqkbjoKMJW
10/14/2021 3:57,HopsIndonesia,"Markas pinjol di perumahan elite Tangerang disergap, polisi temukan jaringanÂ ini https://t.co/zi3J8IhS6V"
10/14/2021 3:57,trimobasss,RT @Urrangawak: Puluhan penagih Pinjol digerebek saat beraksi di meja kerja di daerah Jakarta Barat.. https://t.co/tdHmaUetCh
